"module name","license","repository"
"@exodus/bytes@1.14.1","MIT","https://github.com/ExodusOSS/bytes"
"@finos/perspective-viewer-d3fc@3.8.0","Apache-2.0","https://github.com/finos/perspective"
"@finos/perspective-viewer-datagrid@3.8.0","Apache-2.0","https://github.com/finos/perspective"
"@finos/perspective-viewer@3.8.0","Apache-2.0","https://github.com/finos/perspective"
"@finos/perspective@3.8.0","Apache-2.0","https://github.com/finos/perspective"
"@floating-ui/core@1.7.4","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.5","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.7","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.10","MIT","https://github.com/floating-ui/floating-ui"
"@fontsource/inter@5.2.8","OFL-1.1","https://github.com/fontsource/font-files"
"@fontsource/noto-sans-arabic@5.2.10","OFL-1.1","https://github.com/fontsource/font-files"
"@fontsource/noto-sans-jp@5.2.9","OFL-1.1","https://github.com/fontsource/font-files"
"@fontsource/noto-sans-kr@5.2.9","OFL-1.1","https://github.com/fontsource/font-files"
"@fontsource/noto-sans-sc@5.2.9","OFL-1.1","https://github.com/fontsource/font-files"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.7","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.4.3","Apache-2.0","https://github.com/humanwhocodes/retry"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@mediapipe/tasks-vision@0.10.17","Apache-2.0",""
"@monogrid/gainmap-js@3.4.0","MIT","https://github.com/MONOGRID/gainmap-js"
"@radix-ui/primitive@1.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-arrow@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-collection@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-compose-refs@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-context@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dialog@1.1.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-direction@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dismissable-layer@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dropdown-menu@2.1.16","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-guards@1.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-scope@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-id@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-label@2.1.8","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-menu@2.1.16","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-popper@1.2.8","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-portal@1.1.9","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-presence@1.1.5","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-primitive@2.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-primitive@2.1.4","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-roving-focus@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.2.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.2.4","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-switch@1.2.6","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-tabs@1.1.13","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-callback-ref@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-controllable-state@1.2.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-effect-event@0.0.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-escape-keydown@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-layout-effect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-previous@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-rect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-size@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/rect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@react-three/drei@10.7.7","MIT","https://github.com/pmndrs/drei"
"@react-three/fiber@9.5.0","MIT","https://github.com/pmndrs/react-three-fiber"
"@react-three/postprocessing@3.0.4","MIT","https://github.com/pmndrs/react-postprocessing"
"@reduxjs/toolkit@2.11.2","MIT","https://github.com/reduxjs/redux-toolkit"
"@rolldown/pluginutils@1.0.0-rc.2","MIT","https://github.com/rolldown/rolldown"
"@rollup/rollup-darwin-arm64@4.57.1","MIT","https://github.com/rollup/rollup"
"@standard-schema/spec@1.1.0","MIT","https://github.com/standard-schema/standard-schema"
"@standard-schema/utils@0.3.0","MIT","https://github.com/standard-schema/standard-schema"
"@testing-library/dom@10.4.1","MIT","https://github.com/testing-library/dom-testing-library"
"@testing-library/jest-dom@6.9.1","MIT","https://github.com/testing-library/jest-dom"
"@testing-library/react@16.3.2","MIT","https://github.com/testing-library/react-testing-library"
"@testing-library/user-event@14.6.1","MIT","https://github.com/testing-library/user-event"
"@tweenjs/tween.js@23.1.3","MIT","https://github.com/tweenjs/tween.js"
"@types/aria-query@5.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__core@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.27.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.28.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/chai@5.2.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-array@3.2.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-color@2.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-color@3.1.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-ease@3.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-geo@2.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-geo@3.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-interpolate@2.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-interpolate@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-path@3.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-scale@4.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-selection@1.0.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-selection@2.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-shape@3.1.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-time@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-timer@3.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-zoom@2.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/deep-eql@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/draco3d@1.4.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/geojson@7946.0.16","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@24.10.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/offscreencanvas@2019.7.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/pako@2.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/raf@3.4.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@19.2.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-reconciler@0.28.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-reconciler@0.32.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-simple-maps@3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.2.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/stats.js@0.17.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/three@0.182.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/trusted-types@2.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/use-sync-external-store@0.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/webxr@0.5.24","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@typescript-eslint/eslint-plugin@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/parser@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/project-service@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/scope-manager@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/tsconfig-utils@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/type-utils@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/types@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/typescript-estree@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/utils@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/visitor-keys@8.55.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@use-gesture/core@10.3.1","MIT","https://github.com/pmndrs/use-gesture"
"@use-gesture/react@10.3.1","MIT","https://github.com/pmndrs/use-gesture"
"@vitejs/plugin-react@5.1.3","MIT","https://github.com/vitejs/vite-plugin-react"
"@vitest/expect@4.0.18","MIT","https://github.com/vitest-dev/vitest"
"@vitest/mocker@4.0.18","MIT","https://github.com/vitest-dev/vitest"
"@vitest/pretty-format@4.0.18","MIT","https://github.com/vitest-dev/vitest"
"@vitest/runner@4.0.18","MIT","https://github.com/vitest-dev/vitest"
"@vitest/snapshot@4.0.18","MIT","https://github.com/vitest-dev/vitest"
"@vitest/spy@4.0.18","MIT","https://github.com/vitest-dev/vitest"
"@vitest/utils@4.0.18","MIT","https://github.com/vitest-dev/vitest"
"@wasm-audio-decoders/common@9.0.7","MIT","https://github.com/eshaz/wasm-audio-decoders"
"@webgpu/types@0.1.69","BSD-3-Clause","https://github.com/gpuweb/types"
"acorn-jsx@5.3.2","MIT","https://github.com/acornjs/acorn-jsx"
"acorn@8.15.0","MIT","https://github.com/acornjs/acorn"
"adler-32@1.3.1","Apache-2.0","https://github.com/SheetJS/js-adler32"
"admin-ui@0.0.0","UNLICENSED",""
"agent-base@7.1.4","MIT","https://github.com/TooTallNate/proxy-agents"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@5.2.0","MIT","https://github.com/chalk/ansi-styles"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"aria-hidden@1.2.6","MIT","https://github.com/theKashey/aria-hidden"
"aria-query@5.3.0","Apache-2.0","https://github.com/A11yance/aria-query"
"aria-query@5.3.2","Apache-2.0","https://github.com/A11yance/aria-query"
"assertion-error@2.0.1","MIT","https://github.com/chaijs/assertion-error"
"async@3.2.6","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"axios@1.13.5","MIT","https://github.com/axios/axios"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base64-arraybuffer@1.0.2","MIT","https://github.com/niklasvh/base64-arraybuffer"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"baseline-browser-mapping@2.9.19","Apache-2.0","https://github.com/web-platform-dx/baseline-browser-mapping"
"basic-auth@2.0.1","MIT","https://github.com/jshttp/basic-auth"
"bidi-js@1.0.3","MIT","https://github.com/lojjic/bidi-js"
"bn.js@5.2.2","MIT","https://github.com/indutny/bn.js"
"brace-expansion@1.1.12","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@2.0.2","MIT","https://github.com/juliangruber/brace-expansion"
"browserslist@4.28.1","MIT","https://github.com/browserslist/browserslist"
"buffer-pipe@0.0.3","MPL-2.0","https://github.com/wanderer/buffer-pipe"
"buffer@6.0.3","MIT","https://github.com/feross/buffer"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bound@1.0.4","MIT","https://github.com/ljharb/call-bound"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"camera-controls@3.1.2","MIT","https://github.com/yomotsu/camera-controls"
"caniuse-lite@1.0.30001769","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"canvg@3.0.11","MIT","https://github.com/canvg/canvg"
"cfb@1.2.2","Apache-2.0","https://github.com/SheetJS/js-cfb"
"chai@6.2.2","MIT","https://github.com/chaijs/chai"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"chroma-js@1.4.1","BSD*","https://github.com/gka/chroma.js"
"class-variance-authority@0.7.1","Apache-2.0","https://github.com/joe-bell/cva"
"classnames@2.5.1","MIT","https://github.com/JedWatson/classnames"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"codepage@1.15.0","Apache-2.0","https://github.com/SheetJS/js-codepage"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@2.20.3","MIT","https://github.com/tj/commander.js"
"commander@7.2.0","MIT","https://github.com/tj/commander.js"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"convert-source-map@2.0.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie@1.1.1","MIT","https://github.com/jshttp/cookie"
"core-js@3.48.0","MIT","https://github.com/zloirock/core-js"
"corser@2.0.1","MIT","https://github.com/agrueneberg/Corser"
"crc-32@1.2.2","Apache-2.0","https://github.com/SheetJS/js-crc32"
"cross-env@7.0.3","MIT","https://github.com/kentcdodds/cross-env"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"css-line-break@2.1.0","MIT","https://github.com/niklasvh/css-line-break"
"css-tree@3.1.0","MIT","https://github.com/csstree/csstree"
"css.escape@1.5.1","MIT","https://github.com/mathiasbynens/CSS.escape"
"cssstyle@6.0.1","MIT","https://github.com/jsdom/cssstyle"
"csstype@3.2.3","MIT","https://github.com/frenic/csstype"
"d3-array@1.0.1","BSD-3-Clause","https://github.com/d3/d3-array"
"d3-array@2.12.1","BSD-3-Clause","https://github.com/d3/d3-array"
"d3-array@3.2.4","ISC","https://github.com/d3/d3-array"
"d3-axis@3.0.0","ISC","https://github.com/d3/d3-axis"
"d3-brush@3.0.0","ISC","https://github.com/d3/d3-brush"
"d3-chord@3.0.1","ISC","https://github.com/d3/d3-chord"
"d3-collection@1.0.7","BSD-3-Clause","https://github.com/d3/d3-collection"
"d3-color@1.4.1","BSD-3-Clause","https://github.com/d3/d3-color"
"d3-color@2.0.0","BSD-3-Clause","https://github.com/d3/d3-color"
"d3-color@3.1.0","ISC","https://github.com/d3/d3-color"
"d3-contour@4.0.2","ISC","https://github.com/d3/d3-contour"
"d3-delaunay@6.0.4","ISC","https://github.com/d3/d3-delaunay"
"d3-dispatch@1.0.1","BSD-3-Clause","https://github.com/d3/d3-dispatch"
"d3-dispatch@2.0.0","BSD-3-Clause","https://github.com/d3/d3-dispatch"
"d3-dispatch@3.0.1","ISC","https://github.com/d3/d3-dispatch"
"d3-drag@2.0.0","BSD-3-Clause","https://github.com/d3/d3-drag"
"d3-drag@3.0.0","ISC","https://github.com/d3/d3-drag"
"d3-dsv@3.0.1","ISC","https://github.com/d3/d3-dsv"
"d3-ease@1.0.7","BSD-3-Clause","https://github.com/d3/d3-ease"
"d3-ease@2.0.0","BSD-3-Clause","https://github.com/d3/d3-ease"
"d3-ease@3.0.1","BSD-3-Clause","https://github.com/d3/d3-ease"
"d3-fetch@3.0.1","ISC","https://github.com/d3/d3-fetch"
"d3-force@3.0.0","ISC","https://github.com/d3/d3-force"
"d3-format@1.0.2","BSD-3-Clause","https://github.com/d3/d3-format"
"d3-format@3.1.2","ISC","https://github.com/d3/d3-format"
"d3-geo@2.0.2","BSD-3-Clause","https://github.com/d3/d3-geo"
"d3-geo@3.1.1","ISC","https://github.com/d3/d3-geo"
"d3-hierarchy@3.1.2","ISC","https://github.com/d3/d3-hierarchy"
"d3-interpolate@1.4.0","BSD-3-Clause","https://github.com/d3/d3-interpolate"
"d3-interpolate@2.0.1","BSD-3-Clause","https://github.com/d3/d3-interpolate"
"d3-interpolate@3.0.1","ISC","https://github.com/d3/d3-interpolate"
"d3-path@3.1.0","ISC","https://github.com/d3/d3-path"
"d3-polygon@3.0.1","ISC","https://github.com/d3/d3-polygon"
"d3-quadtree@3.0.1","ISC","https://github.com/d3/d3-quadtree"
"d3-random@3.0.1","ISC","https://github.com/d3/d3-random"
"d3-scale-chromatic@3.1.0","ISC","https://github.com/d3/d3-scale-chromatic"
"d3-scale@1.0.3","BSD-3-Clause","https://github.com/d3/d3-scale"
"d3-scale@4.0.2","ISC","https://github.com/d3/d3-scale"
"d3-selection@1.0.2","BSD-3-Clause","https://github.com/d3/d3-selection"
"d3-selection@2.0.0","BSD-3-Clause","https://github.com/d3/d3-selection"
"d3-selection@3.0.0","ISC","https://github.com/d3/d3-selection"
"d3-shape@3.2.0","ISC","https://github.com/d3/d3-shape"
"d3-svg-legend@2.25.6","Apache-2.0","https://github.com/susielu/d3-legend"
"d3-time-format@2.3.0","BSD-3-Clause","https://github.com/d3/d3-time-format"
"d3-time-format@4.1.0","ISC","https://github.com/d3/d3-time-format"
"d3-time@1.1.0","BSD-3-Clause","https://github.com/d3/d3-time"
"d3-time@3.1.0","ISC","https://github.com/d3/d3-time"
"d3-timer@1.0.10","BSD-3-Clause","https://github.com/d3/d3-timer"
"d3-timer@2.0.0","BSD-3-Clause","https://github.com/d3/d3-timer"
"d3-timer@3.0.1","ISC","https://github.com/d3/d3-timer"
"d3-transition@1.0.3","BSD-3-Clause","https://github.com/d3/d3-transition"
"d3-transition@2.0.0","BSD-3-Clause","https://github.com/d3/d3-transition"
"d3-transition@3.0.1","ISC","https://github.com/d3/d3-transition"
"d3-zoom@2.0.0","BSD-3-Clause","https://github.com/d3/d3-zoom"
"d3-zoom@3.0.0","ISC","https://github.com/d3/d3-zoom"
"d3@7.9.0","ISC","https://github.com/d3/d3"
"d3fc@15.2.13","MIT","https://github.com/d3fc/d3fc"
"data-urls@7.0.0","MIT","https://github.com/jsdom/data-urls"
"date-fns@4.1.0","MIT","https://github.com/date-fns/date-fns"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"decimal.js-light@2.5.1","MIT","https://github.com/MikeMcl/decimal.js-light"
"decimal.js@10.6.0","MIT","https://github.com/MikeMcl/decimal.js"
"deep-is@0.1.4","MIT","https://github.com/thlorenz/deep-is"
"delaunator@5.0.1","ISC","https://github.com/mapbox/delaunator"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"dequal@2.0.3","MIT","https://github.com/lukeed/dequal"
"detect-gpu@5.0.70","MIT","https://github.com/pmndrs/detect-gpu"
"detect-node-es@1.1.0","MIT","https://github.com/thekashey/detect-node"
"dom-accessibility-api@0.5.16","MIT","https://github.com/eps1lon/dom-accessibility-api"
"dom-accessibility-api@0.6.3","MIT","https://github.com/eps1lon/dom-accessibility-api"
"dompurify@3.3.1","(MPL-2.0 OR Apache-2.0)","https://github.com/cure53/DOMPurify"
"draco3d@1.5.7","Apache-2.0","https://github.com/google/draco"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"electron-to-chromium@1.5.286","ISC","https://github.com/kilian/electron-to-chromium"
"entities@6.0.1","BSD-2-Clause","https://github.com/fb55/entities"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-module-lexer@1.7.0","MIT","https://github.com/guybedford/es-module-lexer"
"es-object-atoms@1.1.1","MIT","https://github.com/ljharb/es-object-atoms"
"es-set-tostringtag@2.1.0","MIT","https://github.com/es-shims/es-set-tostringtag"
"es-toolkit@1.44.0","MIT","https://github.com/toss/es-toolkit"
"esbuild@0.27.3","MIT","https://github.com/evanw/esbuild"
"escalade@3.2.0","MIT","https://github.com/lukeed/escalade"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"eslint-plugin-react-hooks@7.0.1","MIT","https://github.com/facebook/react"
"eslint-plugin-react-refresh@0.4.26","MIT","https://github.com/ArnaudBarre/eslint-plugin-react-refresh"
"eslint-scope@8.4.0","BSD-2-Clause","https://github.com/eslint/js"
"eslint-visitor-keys@3.4.3","Apache-2.0","https://github.com/eslint/eslint-visitor-keys"
"eslint-visitor-keys@4.2.1","Apache-2.0","https://github.com/eslint/js"
"eslint@9.39.2","MIT","https://github.com/eslint/eslint"
"espree@10.4.0","BSD-2-Clause","https://github.com/eslint/js"
"esquery@1.7.0","BSD-3-Clause","https://github.com/estools/esquery"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
